,Ligand,PDB_Crystal,Run,Binding_Energy
0,NKL,NKL_7l4u,77,-4.78
0,NKL,NKL_7l4u,18,-4.77
0,NKL,NKL_7l4u,84,-4.76
0,NKL,NKL_7l4u,85,-4.75
0,NKL,NKL_7l4u,46,-4.74
0,NKL,NKL_7l4u,70,-4.74
0,NKL,NKL_7l4u,44,-4.74
0,NKL,NKL_7l4u,52,-4.69
0,NKL,NKL_7l4u,12,-4.69
0,NKL,NKL_7l4u,88,-4.68
0,NKL,NKL_7l4u,100,-4.67
0,NKL,NKL_7l4u,27,-4.67
0,NKL,NKL_7l4u,87,-4.66
0,NKL,NKL_7l4u,71,-4.66
0,NKL,NKL_7l4u,39,-4.65
0,NKL,NKL_7l4u,76,-4.64
0,NKL,NKL_7l4u,25,-4.63
0,NKL,NKL_7l4u,28,-4.62
0,NKL,NKL_7l4u,80,-4.62
0,NKL,NKL_7l4u,7,-4.61
0,NKL,NKL_7l4u,79,-4.61
0,NKL,NKL_7l4u,15,-4.61
0,NKL,NKL_7l4u,9,-4.6
0,NKL,NKL_7l4u,42,-4.6
0,NKL,NKL_7l4u,14,-4.6
0,NKL,NKL_7l4u,8,-4.59
0,NKL,NKL_7l4u,29,-4.56
0,NKL,NKL_7l4u,50,-4.56
0,NKL,NKL_7l4u,34,-4.56
0,NKL,NKL_7l4u,99,-4.55
0,NKL,NKL_7l4u,2,-4.55
0,NKL,NKL_7l4u,61,-4.55
0,NKL,NKL_7l4u,19,-4.54
0,NKL,NKL_7l4u,57,-4.54
0,NKL,NKL_7l4u,65,-4.53
0,NKL,NKL_7l4u,20,-4.53
0,NKL,NKL_7l4u,97,-4.53
0,NKL,NKL_7l4u,82,-4.53
0,NKL,NKL_7l4u,63,-4.52
0,NKL,NKL_7l4u,55,-4.52
0,NKL,NKL_7l4u,6,-4.51
0,NKL,NKL_7l4u,94,-4.5
0,NKL,NKL_7l4u,40,-4.49
0,NKL,NKL_7l4u,73,-4.45
0,NKL,NKL_7l4u,72,-4.44
0,NKL,NKL_7l4u,4,-4.44
0,NKL,NKL_7l4u,91,-4.41
0,NKL,NKL_7l4u,1,-4.41
